Entidad,Sector,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01
Sonora,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",105.8459574,100.5832429,99.26707486,112.5948393,116.4213216,137.969191,164.2055116,156.0033071,162.1309319,142.1384467,141.3590512,126.8071589,105.0189135
Sonora,Construcción ,107.1786042,104.7556983,109.8361066,111.4494412,115.8311844,117.7028698,116.3900579,109.358507,105.2406494,106.1234626,101.885042,111.8008858,96.93898422
Sonora,Industrias manufactureras ,106.4762749,101.7849546,100.9339993,92.85934198,101.1462719,100.3983007,93.0879565,100.7311352,100.4876567,101.9449635,104.2196602,96.30359677,110.1277391
Tabasco,Actividades secundarias ,100.1294312,78.78459616,80.14038017,77.63374401,80.62393122,80.2801297,74.01919905,81.93258352,70.45432072,73.53454973,66.34037622,62.3503304,81.06222986
Tabasco,Minería ,108.8233643,83.12361845,84.05843288,80.95412845,85.19933849,85.56194036,76.69847878,87.85407804,73.79493637,76.49066663,67.63792305,63.73586734,87.40478564
Tabasco,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",99.76999932,87.62680432,95.94268648,107.5323608,101.9012212,99.75144022,110.2840014,108.4410743,112.0446798,115.932238,120.1287936,107.6083706,103.5125401
Tabasco,Construcción ,62.06213038,59.96645614,48.58907461,53.47355167,52.08872249,56.3259042,56.42801931,52.9235395,52.00676134,55.87677383,53.06087499,41.42254478,39.90097201
Tabasco,Industrias manufactureras ,81.87172801,69.18755861,83.73611618,77.85688261,77.55866273,69.18268883,72.11542449,71.17649553,65.20891073,69.83799987,68.19925456,70.59476946,78.45323726
Tamaulipas,Actividades secundarias ,91.76622876,94.32343468,96.51347562,98.40801975,96.41090931,97.52225341,94.23063561,98.4799212,99.39735799,100.4599152,96.03518976,89.91734392,97.02867553
Tamaulipas,Minería ,53.31364651,49.61587882,54.36807076,53.43115563,52.89931405,55.44990105,53.55201464,51.28637694,45.17809699,49.7932462,46.86162897,50.39422075,50.51375389
Tamaulipas,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",81.46657148,110.691331,106.2796514,102.0013581,96.73410135,97.74538486,113.6780289,111.857939,117.2393152,98.87812481,92.68449444,75.40513433,75.23338455
Tamaulipas,Construcción ,97.99478551,107.5764591,103.8189439,109.8759365,102.3184086,102.474102,101.1186534,109.2543011,107.1145664,106.5318569,97.4575767,99.10651891,110.7584086
Tamaulipas,Industrias manufactureras ,97.74679704,95.34946763,100.395589,101.7568121,102.2710245,103.5289713,96.87525404,101.4152891,104.5033841,107.8631835,105.3732601,95.31427172,102.6672429
Tlaxcala,Actividades secundarias ,98.15829654,97.39071386,102.785347,97.25294723,99.15403146,100.4608076,98.33263565,97.2264119,106.490262,107.1423015,98.9070565,109.5514582,115.926059
Tlaxcala,Minería ,84.0039848,82.62082647,85.22716223,82.55070417,82.56982644,83.35076876,80.79216821,77.62335835,80.76427058,92.86802992,86.46939305,94.27984393,91.48746389
Tlaxcala,"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final ",105.3407864,119.2062191,104.1508392,116.3807213,106.9026495,115.0604297,112.1269412,106.8533059,110.5532044,126.3331711,101.7874992,106.1940167,113.9430354
